name,category,serial,imei_1,imei_2,asset_id,purchase_date,warranty_end,condition,software_connectivity,company,ram,specs_json
Latitude 5310,Laptop,35318461323,,,,,,Good,Probe &Tems Kit,Dell,16GB,
Huawei P40 40  ,Mobile,860996046034052,860996046044069,,,,,Good,Probe,,,
SAMSUNG S23,Mobile,358709985457245,359656995457245,,,,,Good,Tems,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
TD TECH,Aramco device 1,355000010000249,355000010000536,,,,,Good,NEMO,,,
AD-C3,Aramco device 2,350799150008764,350799150008764,,,,,Good,NEMO,,,
Huawei P40 Pro 5G,Mobile,860996042408714,860996042413714,,,,,Good,Probe,,,
SAMSUNG S23,Mobile,351824510883398,35247122O883398,,,,,SIM TRAY BROKEN,Tems,,,
SAMSUNG S23,Mobile,352496802005706,355378412005705,,,,,Good,Tems,,,
LENOEVO(ITEL i5),Laptop,N/A,N/A,,,,,Good,N/A,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
300W(GOOD),INVERTOR,N/A,N/A,,,,,Good,N/A,,,
Huawei P40 Pro 5G,Mobile,860996043193232,860996043205952,,,,,Good,Probe,,,
SAMSUNG S23,Mobile,358709984813323,359656994813323,,,,,Good,Tems,,,
LENOVO THINKPAD T14s GEN 2,Laptop,N/A,N/A,,,,,Good,Probe &Tems Kit,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
800 WATT,INVERTOR,N/A,N/A,,,,,Demage,N/A,,,
Lenovo i7,Laptop,N/A,N/A,,,,,Good,Probe,,,
Huawei P40 Pro 5G,Mobile,860996042169704,860996042181717,,,,,back broken ,N/A,,,
353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
1,Data Cable,N/A,N/A,,,,,Good,N/A,,,
1,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
Huawei P40 40  ,Mobile,860996042062974,860996042072981,,,,,Good,Probe,,,
AX201NGW,Laptop,N/A,N/A,,,,,Good,Probe,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,Probe,,,
1,Data Cable,N/A,N/A,,,,,Good,N/A,,,
1,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
DELL CORE i5,Laptop,N/A,N/A,,,,,Good,Probe,,,
Huawei P40 Pro 5G,Mobile,862849041375434,862849041379931,,,,,Demage,Probe,,,
SAMSUNG S23 PLUS,Mobile,352496803818859,355278413818858,,,,,Good,Tems,,,
SAMSUNG S23 PLUS,Mobile,352496801033642,355378411033641,,,,,Good,Tems,,,
Huawei Mate 20 ,Mobile,862854043151684,862854043164695,,,,,Good,Probe,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
1,Data Cable,N/A,N/A,,,,,Good,N/A,,,
600 watt,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
Huawei P40 Pro 5G,Mobile,860996045738125,860996045743125,,,,,Good,N/A,,,
LENOEVO(ITEL i7),Laptop,N/A,N/A,,,,,Good,Probe,,,
BU 353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
500w,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
 DELL CORE I 7 Latitude 7410,Laptop,N/A,N/A,,,,,Good,Tems,,,
SAMSUNG S23 PLUS,Mobile,352496801235478,355378411235477,,,,,Good,Tems,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
SAMSUNG S23,Mobile,358709980948123,359656990948123,,,,,Good,Tems,,,
Huawei P40 Pro 5G,Mobile,860996045265129,860996045285143,,,,,Front side corner Damage,Probe,,,
Huawei Mate 20 ,Mobile,861669041019993,861669041040007,,,,,Back/front Broke,PHU,,,
G-Star-IV,GPS,N/A,N/A,,,,,Good,Probe &Tems Kit,,,
Laptop Huawei,Laptop,N/A,N/A,,,,,Laptop folding  damage,Probe &Tems Kit,,,
Elite-3500,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
Huawei P40 Pro 5G,Mobile,869826040913210,869826040922211,,,,,back broken ,Probe/PHU,,,
Huawei P40 Pro 5G,Mobile,869826042561306,869826042567105,,,,,Good,Probe/PHU,,,
Dell Latitude 7410,Laptop,N/A,N/A,,,,,Good,N/A,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
SAMSUNG S23,Mobile,358709984625396,3596569946625390,,,,,Good,Tems,,,
1,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
SAMSUNG S23,Mobile,358709984722284,359656994722284,,,,,Good,Tems,,,
Lattitude 7400,Laptop,N/A,N/A,,,,,Good,N/A,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
1,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
Latitude E5470,Laptop,N/A,N/A,,,,,Demage,Probe,,,
Huawei P40 Pro 5G,Mobile,860996046788806,860996046798813,,,,,Good,Probe,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
Huawei P40 Pro 5G,Mobile,862849042291291,862849042296498,,,,,Good,Probe,,,
MATE 40,Mobile,869826043262821,869826043267622,,,,,Good,Probe,,,
DELL,Laptop,N/A,N/A,,,,,Demage,Tems,,,
SAMSUNG S23,Mobile,358709981983335,3596569981983330,,,,,Good,N/A,,,
ACER Aspire ES1-572,Laptop,N/A,N/A,,,,,Good,Probe,,,
BU-353S4,GPS,N/A,N/A,,,,,Good,N/A,,,
800 watt,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
Huawei P40 40  ,Mobile,860996042058709,860996042068716,,,,,back broken ,Probe,,,
DELL,Laptop,N/A,N/A,,,,,Good,Probe,,,
500w,INVERTOR,N/A,N/A,,,,,Good,Probe,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,Probe,,,
THINK PADT480S,Laptop,N/A,N/A,,,,,Good,Probe,,,
Huawei P40 Pro 5G,Mobile,860996042838381,860996042846384,,,,,Good,Probe,,,
Huawei P40 Pro 5G,Mobile,869826040913210,869826040922211,,,,,back broken ,N/A,,,
Huawei P40 Pro 5G,Mobile,869826040922211,,,,,,Good,N/A,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
1,Data Cable,N/A,N/A,,,,,Good,N/A,,,
DENX DX130 (POWER 300 W),INVERTOR,N/A,N/A,,,,,Good,N/A,,,
LENEVO THINK PAD,Laptop,N/A,N/A,,,,,Good,Probe &Tems Kit,,,
HUAWEI P20,Mobile,867052041921332,867052041930838,,,,,Good,UNABLE TO COONECT,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
SAMSUNG S23,Mobile,358709981040870,359656991040870,,,,,Good,Tems,,,
Huawei P40 40  ,Mobile,863725043237070,863725043248184,,,,,Good,Probe,,,
SAMSUNG S23 PLUS,Mobile,352496800548772,355378410548771,,,,,Good,Tems,,,
Huawei P40 40  ,Mobile,860996040018986,860996040023937,,,,,Back/front Broke,Probe,,,
Huawei P40 40  ,Mobile,860996043200318,860996043213030,,,,,Back/front Broke,Probe,,,
Huawei P40 40,Mobile,860996042838563,860996042846566,,,,,Good,Probe,,,
LENOVO THINKPAD E490,Laptop,N/A,N/A,,,,,BROKE,N/A,,,
500W,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
Dell Latitude 7410,Laptop,N/A,N/A,,,,,Good,Tems,,,
SAMSUNG S23,Mobile,358709981191756,359656991191756,,,,,Good,N/A,,,
N/A,Modem,N/A,N/A,,,,,Good,N/A,,,
BU-353N5,GPS,N/A,N/A,,,,,Good,N/A,,,
2,Data Cable,N/A,N/A,,,,,Good,N/A,,,
DX136,INVERTOR,N/A,N/A,,,,,Good,N/A,,,
Huawei P40 Pro 5G,Mobile,860996042405140,860996042410140,,,,,Good,Probe,,,
Huawei P40 Pro 5G,Mobile,860996042173748,860996042185759,,,,,Good,Probe,,,
GOUI,Data Cable,N/A,N/A,,,,,Good,N/A,,,
